name,owner_id,city_id,fin_id
Curtaincrimson,302,1020,210
Catsand,841,1004,1452
Rattundra,991,56,454
Edgewood,1377,614,326
Bisonbronze,1171,525,994
Ferretstone,1466,897,824
Curtainrune,293,680,333
Trackerrattle,1115,228,1237
Swishersprinkle,133,606,1312
Antelopeshine,1382,1429,759
Beaklinen,619,141,1495
Mastersage,50,844,1185
Samuraicopper,1333,1008,727
Warriordent,383,961,354
Coyotecrocus,1273,753,1166
Toepeat,526,359,1310
Walkerdesert,238,219,732
Jestershine,81,672,1002
Keeperspiral,740,959,1371
Hairfringe,1015,1276,95
Crowgreat,1019,229,1326
Jawsequoia,517,644,1458
Mooseplatinum,550,643,188
Chantercrazy,300,1256,659
Witchpattern,470,608,1345
Wolfdaisy,177,158,1057
Chinalabaster,16,1000,11
Venomnight,1064,1213,442
Servantsticky,1189,584,1281
Herokiwi,1464,569,601
Boarsprout,1165,874,1372
Carpetindigo,1235,1258,213
Bellsquare,843,460,196
Choppergold,961,1190,504
Thumbjust,1196,933,1172
Shriekerfuschia,1198,1183,848
Roariridescent,1419,1132,632
Collarequinox,1081,917,1169
Sargentvine,165,824,524
Deathplaid,824,157,287
Stingnettle,373,804,471
Musewhite,161,187,482
Gemrain,591,1293,374
Gemdent,1150,1140,202
Roarermisty,347,609,889
Capcurse,116,1466,179
Collarivory,887,1116,639
Shirtdesert,596,1384,382
Lighterroot,240,730,808
Hyenacliff,1109,298,410
Samuraizircon,322,353,575
Roarcookie,1428,1223,1047
Mooseshard,23,40,1324
Seernoon,1151,591,132
Ringerribbon,406,1126,1391
Horsesage,1026,567,1444
Spikefortune,1404,593,404
Donkeyhorn,989,1372,350
Spiderlinen,378,19,1037
Swallownotch,1,1439,489
Flylake,1222,248,898
Playerbrave,1258,876,912
Armripple,1083,375,914
Princebristle,1089,598,961
Cloakfeather,586,1204,205
Bowmud,1004,1248,752
Donkeyholy,275,655,456
Slothginger,928,1273,54
Crushermad,156,1302,1082
Legendtabby,657,986,496
Moosesponge,1017,1090,534
Pegasusdesert,1459,1288,78
Harecoconut,1285,577,661
Heronlie,122,390,1215
Fingersour,1216,244,1261
Collardark,62,1493,1425
Whimseyphantom,647,890,1228
Driftertitanium,380,1162,717
Storknettle,973,129,65
Koalapear,556,2,33
Snappercat,446,788,177
Cloakginger,183,639,425
Stalkerboom,282,1272,460
Mothshell,280,1089,1267
Buffalotulip,1457,859,1314
Howlersnow,1332,725,1317
Curtainneon,391,946,195
Dragonnotch,562,376,431
Turnerpolar,707,338,126
Roarmagenta,1065,790,1112
Sharkshimmer,781,1392,922
Seekerrapid,935,540,1150
Cranehickory,752,299,452
Glassglory,963,1201,1090
Fishermalachite,495,1282,174
Pawcopper,111,1038,1032
Neckpaint,463,903,712
Browfast,685,1387,966
Unicornthread,1270,1099,1130
Beesprout,1009,1260,689
Batwave,1444,1160,219
Griffincharm,711,1406,162
Cougarcyber,136,552,978
Questerclear,343,270,665
Mindbranch,753,1127,10
Buffaloprong,1267,517,87
Dragonkiwi,913,1104,412
Shieldcarnation,43,123,1369
Drifterjet,719,433,383
Noseseason,52,1234,290
Jawchrome,1300,1418,348
Storkcurly,104,1303,408
Raccoondesert,1246,1141,462
Backgrove,175,932,467
Molegem,132,486,360
Heronscythe,1379,1150,1342
Pawhickory,209,1019,877
Pawtrail,59,823,1167
Hyenadark,889,908,518
Owlspark,1218,89,48
Crestclever,458,431,52
Snapsand,346,1022,1011
Deathvenom,1147,919,492
Stonedew,377,71,1135
Mindrag,371,1182,657
Backbird,137,619,899
Toothsun,129,1472,336
Griffincoconut,424,692,61
Sargentcaramel,772,1394,67
Queentree,1346,899,1400
Skullboulder,10,967,1008
Divebutter,499,1360,396
Turnerhoneysuckle,980,1284,1064
Yakswamp,169,848,1442
Crowsharp,864,1453,802
Playerrainbow,1199,536,329
Iguanacrazy,780,787,346
Houndboulder,1437,1378,42
Devourervanilla,901,92,1406
Cloudpinto,1472,297,281
Raycedar,180,369,1251
Gemsour,1022,718,736
Shirtround,771,987,123
Questerruby,1479,1041,680
Saverfate,608,1235,327
Bisonveil,134,485,70
Banetreasure,80,1197,1315
Bellyviolet,600,1343,687
Hissnarrow,764,519,430
Pawcharm,101,1376,121
Seerhill,986,602,53
Watcherholy,272,553,1290
Sargentdog,155,155,647
